world_cup_team,player,position,position_group,club,league,reason_missing
New Zealand,Callan Elliot,Defender,Defender,Auckland FC,New Zealand National League,No reliable FBref match in currently supported/pulled leagues
New Zealand,Finn Surman,Defender,Defender,Portland Timbers,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
New Zealand,Francis De Vries,Defender,Defender,Auckland FC,New Zealand National League,No reliable FBref match in currently supported/pulled leagues
New Zealand,Michael Boxall,Defender,Defender,Minnesota United,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
New Zealand,Nando Pijnaker,Defender,Defender,Auckland FC,New Zealand National League,No reliable FBref match in currently supported/pulled leagues
New Zealand,Tim Payne,Defender,Defender,Wellington Phoenix,New Zealand National League,No reliable FBref match in currently supported/pulled leagues
New Zealand,Tommy Smith,Defender,Defender,Braintree Town,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
New Zealand,Tyler Bindon,Defender,Defender,Nottingham Forest,Premier League,No reliable FBref match in currently supported/pulled leagues
New Zealand,Ben Waine,Forward,Forward,Port Vale,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
New Zealand,Callum McCowatt,Forward,Forward,Silkeborg IF,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
New Zealand,Eli Just,Forward,Forward,Motherwell,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
New Zealand,Jesse Randall,Forward,Forward,Auckland FC,New Zealand National League,No reliable FBref match in currently supported/pulled leagues
New Zealand,Kosta Barbarouses,Forward,Forward,Western Sydney Wanderers,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
New Zealand,Lachlan Bayliss,Forward,Forward,Newcastle Jets,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
New Zealand,Alex Paulsen,Goalkeeper,Goalkeeper,Lechia Gdańsk,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
New Zealand,Max Crocombe,Goalkeeper,Goalkeeper,Millwall,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
New Zealand,Michael Woud,Goalkeeper,Goalkeeper,Auckland FC,New Zealand National League,No reliable FBref match in currently supported/pulled leagues
New Zealand,Alex Rufer,Midfielder,Midfielder,Wellington Phoenix,New Zealand National League,No reliable FBref match in currently supported/pulled leagues
New Zealand,Joe Bell,Midfielder,Midfielder,Viking FK,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
New Zealand,Marko Stamenic,Midfielder,Midfielder,Swansea City,English football league system,No reliable FBref match in currently supported/pulled leagues
New Zealand,Matt Garbett,Midfielder,Midfielder,Peterborough United,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
New Zealand,Ryan Thomas,Midfielder,Midfielder,PEC Zwolle,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
New Zealand,Sarpreet Singh,Midfielder,Midfielder,Wellington Phoenix,New Zealand National League,No reliable FBref match in currently supported/pulled leagues
Norway,Fredrik André Bjørkan,Defender,Defender,Bodø/Glimt,Norwegian Eliteserien,No reliable FBref match in currently supported/pulled leagues
Norway,Henrik Falchener,Defender,Defender,Viking,Norwegian Eliteserien,No reliable FBref match in currently supported/pulled leagues
Norway,Leo Østigård,Defender,Defender,Genoa,Serie A,No reliable FBref match in currently supported/pulled leagues
Norway,Sondre Langås,Defender,Defender,Derby County,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Norway,Andreas Schjelderup,Midfielder,Midfielder,Benfica,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Norway,Fredrik Aursnes,Midfielder,Midfielder,Benfica,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Norway,Patrick Berg,Midfielder,Midfielder,Bodø/Glimt,Norwegian Eliteserien,No reliable FBref match in currently supported/pulled leagues
Norway,Thelo Aasgaard,Midfielder,Midfielder,Rangers,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Panama,Andrés Andrade,Defender,Defender,LASK,Austrian Bundesliga,No reliable FBref match in currently supported/pulled leagues
Panama,César Blackman,Defender,Defender,Slovan Bratislava,Slovak First Football League,No reliable FBref match in currently supported/pulled leagues
Panama,Edgardo Fariña,Defender,Defender,Pari Nizhny Novgorod,Russian Premier League,No reliable FBref match in currently supported/pulled leagues
Panama,Fidel Escobar,Defender,Defender,Saprissa,Costa Rican Primera División,No reliable FBref match in currently supported/pulled leagues
Panama,Jiovany Ramos,Defender,Defender,Puerto Cabello,Venezuelan Primera División,No reliable FBref match in currently supported/pulled leagues
Panama,Jorge Gutiérrez,Defender,Defender,Deportivo La Guaira,Venezuelan Primera División,No reliable FBref match in currently supported/pulled leagues
Panama,José Córdoba,Defender,Defender,Norwich City,English football league system,No reliable FBref match in currently supported/pulled leagues
Panama,Roderick Miller,Defender,Defender,Turan Tovuz,Azerbaijan Premier League,No reliable FBref match in currently supported/pulled leagues
Panama,Éric Davis,Defender,Defender,Plaza Amador,Panamanian Liga Panameña de Fútbol,No reliable FBref match in currently supported/pulled leagues
Panama,Cecilio Waterman,Forward,Forward,Universidad de Concepción,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Panama,Ismael Díaz,Forward,Forward,León,Liga MX,No reliable FBref match in currently supported/pulled leagues
Panama,José Fajardo,Forward,Forward,Universidad Católica,Chile Primera División,No reliable FBref match in currently supported/pulled leagues
Panama,Tomás Rodríguez,Forward,Forward,Saprissa,Costa Rican Primera División,No reliable FBref match in currently supported/pulled leagues
Panama,César Samudio,Goalkeeper,Goalkeeper,Marathón,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Panama,Luis Mejía,Goalkeeper,Goalkeeper,Nacional,Uruguayan Primera División,No reliable FBref match in currently supported/pulled leagues
Panama,Orlando Mosquera,Goalkeeper,Goalkeeper,Al Fayha,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Panama,Adalberto Carrasquilla,Midfielder,Midfielder,Pumas UNAM,Liga MX,No reliable FBref match in currently supported/pulled leagues
Panama,Alberto Quintero,Midfielder,Midfielder,Plaza Amador,Panamanian Liga Panameña de Fútbol,No reliable FBref match in currently supported/pulled leagues
Panama,Aníbal Godoy,Midfielder,Midfielder,San Diego FC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Panama,Azarias Londoño,Midfielder,Midfielder,Universidad Católica,Chile Primera División,No reliable FBref match in currently supported/pulled leagues
Panama,Carlos Harvey,Midfielder,Midfielder,Minnesota United,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Panama,Cristian Martínez,Midfielder,Midfielder,Ironi Kiryat Shmona,Israeli Premier League,No reliable FBref match in currently supported/pulled leagues
Panama,César Yanis,Midfielder,Midfielder,Cobresal,Chile Primera División,No reliable FBref match in currently supported/pulled leagues
Panama,José Luis Rodríguez,Midfielder,Midfielder,Juárez,Liga MX,No reliable FBref match in currently supported/pulled leagues
Panama,Yoel Bárcenas,Midfielder,Midfielder,Mazatlán,Liga MX,No reliable FBref match in currently supported/pulled leagues
Paraguay,Alexandro Maidana,Defender,Defender,Talleres,Argentine Primera División,No reliable FBref match in currently supported/pulled leagues
Paraguay,Fabián Balbuena,Defender,Defender,Grêmio,Campeonato Brasileiro Série A,No reliable FBref match in currently supported/pulled leagues
Paraguay,Gustavo Gómez,Defender,Defender,Palmeiras,Campeonato Brasileiro Série A,No reliable FBref match in currently supported/pulled leagues
Paraguay,Gustavo Velázquez,Defender,Defender,Cerro Porteño,Paraguayan Primera División,No reliable FBref match in currently supported/pulled leagues
Paraguay,José Canale,Defender,Defender,Lanús,Argentine Primera División,No reliable FBref match in currently supported/pulled leagues
Paraguay,Juan Cáceres,Defender,Defender,Dynamo Moscow,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Paraguay,Júnior Alonso,Defender,Defender,Atlético Mineiro,Campeonato Brasileiro Série A,No reliable FBref match in currently supported/pulled leagues
Paraguay,Alex Arce,Forward,Forward,Independiente Rivadavia,Argentine Primera División,No reliable FBref match in currently supported/pulled leagues
Paraguay,Gabriel Ávalos,Forward,Forward,Independiente,Argentine Primera División,No reliable FBref match in currently supported/pulled leagues
Paraguay,Gustavo Caballero,Forward,Forward,Portsmouth,English football league system,No reliable FBref match in currently supported/pulled leagues
Paraguay,Isidro Pitta,Forward,Forward,Red Bull Bragantino,Campeonato Brasileiro Série A,No reliable FBref match in currently supported/pulled leagues
Paraguay,Gastón Olveira,Goalkeeper,Goalkeeper,Olimpia,Paraguayan Primera División,No reliable FBref match in currently supported/pulled leagues
Paraguay,Gatito Fernández,Goalkeeper,Goalkeeper,Cerro Porteño,Paraguayan Primera División,No reliable FBref match in currently supported/pulled leagues
Paraguay,Orlando Gill,Goalkeeper,Goalkeeper,San Lorenzo,Paraguayan football league system,No reliable FBref match in currently supported/pulled leagues
Paraguay,Alejandro “Kaku” Romero Gamarra,Midfielder,Midfielder,Al Ain,UAE Pro League,No reliable FBref match in currently supported/pulled leagues
Paraguay,Andrés Cubas,Midfielder,Midfielder,Vancouver Whitecaps,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Paraguay,Braian Ojeda,Midfielder,Midfielder,Orlando City,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Paraguay,Damián Bobadilla,Midfielder,Midfielder,São Paulo,Campeonato Brasileiro Série A,No reliable FBref match in currently supported/pulled leagues
Paraguay,Matías Galarza,Midfielder,Midfielder,Atlanta United,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Paraguay,Maurício Magalhães,Midfielder,Midfielder,Palmeiras,Campeonato Brasileiro Série A,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Abdulelah Al Amri,Defender,Defender,Al Nassr,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Ali Lajami,Defender,Defender,Al Hilal,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Ali Majrashi,Defender,Defender,Al Ahli,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Hassan Kadesh,Defender,Defender,Al Ittihad,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Hassan Tambakti,Defender,Defender,Al Hilal,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Jehad Thikri,Defender,Defender,Al Qadsiah,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Mohammed Abu Al Shamat,Defender,Defender,Al Qadsiah,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Moteb Al Harbi,Defender,Defender,Al Hilal,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Nawaf Boushal,Defender,Defender,Al Nassr,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Sultan Al-Ghannam,Defender,Defender,Al Nassr,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Abdullah Al Hamdan,Forward,Forward,Al Nassr,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Firas Al Buraikan,Forward,Forward,Al Ahli,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Saleh Al Shehri,Forward,Forward,Al Ittihad,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Ahmed Al Kassar,Goalkeeper,Goalkeeper,Al Qadsiah,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Mohammed Al Owais,Goalkeeper,Goalkeeper,Al Ula,Middle East / North Africa league - verify club,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Nawaf Al Aqidi,Goalkeeper,Goalkeeper,Al Nassr,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Abdullah Al Khaibari,Midfielder,Midfielder,Al Nassr,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Alaa Al Hajji,Midfielder,Midfielder,Neom,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Ayman Yahya,Midfielder,Midfielder,Al Nassr,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Khalid Al Ghannam,Midfielder,Midfielder,Al Ettifaq,Middle East / North Africa league - verify club,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Mohammed Kanno,Midfielder,Midfielder,Al Hilal,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Musab Al Juwayr,Midfielder,Midfielder,Al Qadsiah,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Nasser Al Dawsari,Midfielder,Midfielder,Al Hilal,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Salem Al Dawsari,Midfielder,Midfielder,Al Hilal,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Saudi Arabia,Ziyad Al Johani,Midfielder,Midfielder,Al Ahli,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Scotland,Andy Robertson,Defender,Defender,Liverpool,Premier League,No reliable FBref match in currently supported/pulled leagues
Scotland,Anthony Ralston,Defender,Defender,Celtic,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Scotland,Dom Hyam,Defender,Defender,Wrexham,English football league system,No reliable FBref match in currently supported/pulled leagues
Scotland,Grant Hanley,Defender,Defender,Hibernian,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Scotland,Jack Hendry,Defender,Defender,Al Etiffaq,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Scotland,John Souttar,Defender,Defender,Rangers,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Scotland,Lawrence Shankland,Forward,Forward,Hearts,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Scotland,Lyndon Dykes,Forward,Forward,Charlton Athletic,English football league system,No reliable FBref match in currently supported/pulled leagues
Scotland,Craig Gordon,Goalkeeper,Goalkeeper,Hearts,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Scotland,Liam Kelly,Goalkeeper,Goalkeeper,Rangers,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Scotland,Finlay Curtis,Midfielder,Midfielder,Kilmarnock,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Scotland,Kenny McLean,Midfielder,Midfielder,Norwich,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
South Africa,Aubrey Modiba,Defender,Defender,Mamelodi Sundowns,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Bradley Cross,Defender,Defender,Kaizer Chiefs,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Ime Okon,Defender,Defender,Hannover 96,German football league system,No reliable FBref match in currently supported/pulled leagues
South Africa,Kamgogelo Sebelebele,Defender,Defender,Orlando Pirates,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Khuliso Mudau,Defender,Defender,Mamelodi Sundowns,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Khulumani Ndamane,Defender,Defender,Mamelodi Sundowns,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Mbekezeli Mbokazi,Defender,Defender,Chicago Fire,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
South Africa,Nkosinathi Sibisi,Defender,Defender,Orlando Pirates,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Olwethu Makhanya,Defender,Defender,Philadelphia Union,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
South Africa,Samukelo Kabini,Defender,Defender,Molde,Norwegian Eliteserien,No reliable FBref match in currently supported/pulled leagues
South Africa,Thabang Matuludi,Defender,Defender,Polokwane City,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Evidence Makgopa,Forward,Forward,Orlando Pirates,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Iqraam Rayners,Forward,Forward,Mamelodi Sundowns,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Oswin Appollis,Forward,Forward,Orlando Pirates,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Relebohile Mofokeng,Forward,Forward,Orlando Pirates,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Thapelo Maseko,Forward,Forward,AEL Limassol,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
South Africa,Themba Zwane,Forward,Forward,Mamelodi Sundowns,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Tshepang Moremi,Forward,Forward,Orlando Pirates,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Ricardo Goss,Goalkeeper,Goalkeeper,Mamelodi Sundowns,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Ronwen Williams,Goalkeeper,Goalkeeper,Mamelodi Sundowns,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Sipho Chaine,Goalkeeper,Goalkeeper,Orlando Pirates,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Jayden Adams,Midfielder,Midfielder,Mamelodi Sundowns,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Teboho Mokoena,Midfielder,Midfielder,Mamelodi Sundowns,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Thalente Mbatha,Midfielder,Midfielder,Orlando Pirates,South African Premier Division,No reliable FBref match in currently supported/pulled leagues
South Africa,Yaya Sithole,Midfielder,Midfielder,Tondela,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
South Korea,Jens Castrop,Defender,Defender,Borussia Mönchengladbach,Bundesliga,No reliable FBref match in currently supported/pulled leagues
South Korea,Jo Yu-Min,Defender,Defender,Sharjah,UAE Pro League,No reliable FBref match in currently supported/pulled leagues
South Korea,Kim Moon-Hwan,Defender,Defender,Daejeon Hana,K League,No reliable FBref match in currently supported/pulled leagues
South Korea,Kim Tae-Hyun,Defender,Defender,Kashima Antlers,J1 League / Japanese football league system,No reliable FBref match in currently supported/pulled leagues
South Korea,Lee Han-Beom,Defender,Defender,Midtjylland,Danish Superliga,No reliable FBref match in currently supported/pulled leagues
South Korea,Lee Ki-Hyeok,Defender,Defender,Gangwon FC,K League,No reliable FBref match in currently supported/pulled leagues
South Korea,Lee Tae-Seok,Defender,Defender,Austria Vienna,Austrian Bundesliga,No reliable FBref match in currently supported/pulled leagues
South Korea,Park Jin-Seop,Defender,Defender,Zhejiang FC,Chinese Super League,No reliable FBref match in currently supported/pulled leagues
South Korea,Seol Young-Woo,Defender,Defender,Red Star Belgrade,Serbian SuperLiga,No reliable FBref match in currently supported/pulled leagues
South Korea,Cho Kyu-Sung,Forward,Forward,Midtjylland,Danish Superliga,No reliable FBref match in currently supported/pulled leagues
South Korea,Oh Hyun-Kyu,Forward,Forward,Besiktas,Turkish Süper Lig,No reliable FBref match in currently supported/pulled leagues
South Korea,Jo Hyun-Woo,Goalkeeper,Goalkeeper,Ulsan HD,K League,No reliable FBref match in currently supported/pulled leagues
South Korea,Kim Seung-Gyu,Goalkeeper,Goalkeeper,FC Tokyo,J1 League / Japanese football league system,No reliable FBref match in currently supported/pulled leagues
South Korea,Song Bum-Keun,Goalkeeper,Goalkeeper,Jeonbuk Hyundai,K League,No reliable FBref match in currently supported/pulled leagues
South Korea,Bae Jun-Ho,Midfielder,Midfielder,Stoke City,English football league system,No reliable FBref match in currently supported/pulled leagues
South Korea,Hwang In-Beom,Midfielder,Midfielder,Feyenoord,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
South Korea,Kim Jin-Kyu,Midfielder,Midfielder,Jeonbuk Hyundai,K League,No reliable FBref match in currently supported/pulled leagues
South Korea,Lee Dong-Gyeong,Midfielder,Midfielder,Ulsan HD,K League,No reliable FBref match in currently supported/pulled leagues
South Korea,Paik Seung-Ho,Midfielder,Midfielder,Birmingham City,English football league system,No reliable FBref match in currently supported/pulled leagues
South Korea,Um Ji-Sung,Midfielder,Midfielder,Swansea City,English football league system,No reliable FBref match in currently supported/pulled leagues
South Korea,Yang Hyun-Jun,Midfielder,Midfielder,Celtic,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Spain,Yéremy Pino,Forward,Forward,Crystal Palace,Premier League,No reliable FBref match in currently supported/pulled leagues
Sweden,Elliot Stroud,Defender,Defender,Mjallby,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Sweden,Erik Smith,Defender,Defender,St. Pauli,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Sweden,Gustaf Lagerbielke,Defender,Defender,Braga,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Sweden,Benjamin Nygren,Forward,Forward,Celtic,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Sweden,Gustaf Nilsson,Forward,Forward,Club Brugge,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Sweden,Jacob Widell Zetterstrom,Goalkeeper,Goalkeeper,Derby County,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Sweden,Kristoffer Nordfeldt,Goalkeeper,Goalkeeper,AIK,Swedish Allsvenskan,No reliable FBref match in currently supported/pulled leagues
Sweden,Viktor Johansson,Goalkeeper,Goalkeeper,Stoke City,English football league system,No reliable FBref match in currently supported/pulled leagues
Sweden,Besfort Zeneli,Midfielder,Midfielder,Union St-Gilloise,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Sweden,Ken Sema,Midfielder,Midfielder,Pafos,Cypriot First Division,No reliable FBref match in currently supported/pulled leagues
Sweden,Taha Ali,Midfielder,Midfielder,Malmo,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Switzerland,Cedric Itten,Forward,Forward,Fortuna Dusseldorf,German football league system,No reliable FBref match in currently supported/pulled leagues
Switzerland,Marvin Keller,Goalkeeper,Goalkeeper,Young Boys,Swiss Super League,No reliable FBref match in currently supported/pulled leagues
Switzerland,Christian Fassnacht,Midfielder,Midfielder,Young Boys,Swiss Super League,No reliable FBref match in currently supported/pulled leagues
Tunisia,Adem Arous,Defender,Defender,Kasımpaşa,Turkish Süper Lig,No reliable FBref match in currently supported/pulled leagues
Tunisia,Amine Ben Hamida,Defender,Defender,Espérance de Tunis,Tunisian Ligue Professionnelle 1,No reliable FBref match in currently supported/pulled leagues
Tunisia,Moutaz Neffati,Defender,Defender,IFK Norrköping,Swedish Allsvenskan,No reliable FBref match in currently supported/pulled leagues
Tunisia,Omar Rekik,Defender,Defender,Maribor,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Tunisia,Raed Chikhaoui,Defender,Defender,US Monastir,Tunisian Ligue Professionnelle 1,No reliable FBref match in currently supported/pulled leagues
Tunisia,Yan Valery,Defender,Defender,Young Boys,Swiss Super League,No reliable FBref match in currently supported/pulled leagues
Tunisia,Firas Chaouat,Forward,Forward,Club Africain,Tunisian Ligue Professionnelle 1,No reliable FBref match in currently supported/pulled leagues
Tunisia,Hazem Mastouri,Forward,Forward,Dynamo Makhachkala,Russian Premier League,No reliable FBref match in currently supported/pulled leagues
Tunisia,Khalil Ayari,Forward,Forward,Paris Saint-Germain,Ligue 1 / French football league system,No reliable FBref match in currently supported/pulled leagues
Tunisia,Rayan Elloumi,Forward,Forward,Vancouver Whitecaps,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Tunisia,Sebastian Tounekti,Forward,Forward,Celtic,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Tunisia,Abdelmouhib Chamakh,Goalkeeper,Goalkeeper,Club Africain,Tunisian Ligue Professionnelle 1,No reliable FBref match in currently supported/pulled leagues
Tunisia,Aymen Dahmen,Goalkeeper,Goalkeeper,CS Sfaxien,Tunisian Ligue Professionnelle 1,No reliable FBref match in currently supported/pulled leagues
Tunisia,Sabri Ben Hessen,Goalkeeper,Goalkeeper,Étoile du Sahel,Tunisian Ligue Professionnelle 1,No reliable FBref match in currently supported/pulled leagues
Tunisia,Elias Achouri,Midfielder,Midfielder,Copenhagen,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Tunisia,Hadj Mahmoud,Midfielder,Midfielder,Lugano,Swiss Super League,No reliable FBref match in currently supported/pulled leagues
Tunisia,Mortadha Ben Ouanes,Midfielder,Midfielder,Kasımpaşa,Turkish Süper Lig,No reliable FBref match in currently supported/pulled leagues
United States,Max Arfsten,Defender,Defender,Columbus Crew,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
United States,Miles Robinson,Defender,Defender,FC Cincinnati,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
United States,Sergiño Dest,Defender,Defender,PSV Eindhoven,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
United States,Haji Wright,Forward,Forward,Coventry City,English football league system,No reliable FBref match in currently supported/pulled leagues
United States,Ricardo Pepi,Forward,Forward,PSV Eindhoven,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
United States,Chris Brady,Goalkeeper,Goalkeeper,Chicago Fire,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
United States,Matt Freese,Goalkeeper,Goalkeeper,New York City FC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
United States,Alejandro Zendejas,Midfielder,Midfielder,Club América,Liga MX,No reliable FBref match in currently supported/pulled leagues
United States,Cristian Roldan,Midfielder,Midfielder,Seattle Sounders,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
United States,Sebastian Berhalter,Midfielder,Midfielder,Vancouver Whitecaps,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
United States,Tim Weah,Midfielder,Midfielder,Marseille,Ligue 1 / French football league system,No reliable FBref match in currently supported/pulled leagues
Uruguay,Guillermo Varela,Defender,Defender,Flamengo,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Uruguay,Joaquín Piquerez,Defender,Defender,Palmeiras,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Uruguay,Juan Manuel Sanabria,Defender,Defender,Real Salt Lake,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Uruguay,Sebastián Cáceres,Defender,Defender,América,Liga MX,No reliable FBref match in currently supported/pulled leagues
Uruguay,Rodrigo Aguirre,Forward,Forward,Tigres,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Uruguay,Fernando Muslera,Goalkeeper,Goalkeeper,Estudiantes de La Plata,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Uruguay,Santiago Mele,Goalkeeper,Goalkeeper,Monterrey,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Uruguay,Sergio Rochet,Goalkeeper,Goalkeeper,Internacional de Porto Alegre,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Uruguay,Agustín Canobbio,Midfielder,Midfielder,Fluminense,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Uruguay,Brian Rodríguez,Midfielder,Midfielder,América,Liga MX,No reliable FBref match in currently supported/pulled leagues
Uruguay,Emiliano Martínez,Midfielder,Midfielder,Palmeiras,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Uruguay,Giorgian De Arrascaeta,Midfielder,Midfielder,Flamengo,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Uruguay,Maximiliano Araújo,Midfielder,Midfielder,Sporting CP,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Uruguay,Nicolás De La Cruz,Midfielder,Midfielder,Flamengo,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Uruguay,Rodrigo Zalazar,Midfielder,Midfielder,Sporting CP,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
