model_name,training_source,dataset_name,evaluation_scope,actual_feature_count,reference_features_available,reference_features_missing_pct,predictions_file,description,log_loss,brier_score,roc_auc,accuracy_at_0_5,train_rows,test_rows,feature_count
statsbomb_full_rich_features,StatsBomb,statsbomb,heldout_same_source_split,10,10,0.0,data\predictions\feature_ablation\statsbomb_full_rich_features_predictions.csv,"StatsBomb rich event feature set with geometry, body part, shot type, pressure, and play pattern.",0.2828380646428256,0.08132803440093994,0.7960135973789263,0.8986470887011128,86624.0,21657.0,10.0
statsbomb_geometry_only,StatsBomb,statsbomb,heldout_same_source_split,6,6,0.4,data\predictions\feature_ablation\statsbomb_geometry_only_predictions.csv,"Only shot location, distance, angle, minute, and period.",0.2990498294595815,0.08601337671279907,0.7566773104061065,0.8957842729833311,86624.0,21657.0,6.0
statsbomb_understat_style_reduced,StatsBomb,statsbomb,heldout_same_source_split,9,9,0.09999999999999998,data\predictions\feature_ablation\statsbomb_understat_style_reduced_predictions.csv,StatsBomb rows reduced to the kind of context Understat generally has.,0.2838062324201524,0.08165282756090164,0.7942634014779237,0.8980468208893199,86624.0,21657.0,9.0
understat_only_reduced_features,Understat,understat,heldout_same_source_split,11,9,0.09999999999999998,data\predictions\feature_ablation\understat_only_reduced_features_predictions.csv,Understat shot-level model with lighter shot context and no pressure feature.,0.26147010663045395,0.07460223138332367,0.8185040647089785,0.9069038469003532,412176.0,103044.0,11.0
combined_source_shared_features,StatsBomb + Understat,combined,heldout_same_source_split,10,9,0.09999999999999998,data\predictions\feature_ablation\combined_source_shared_features_predictions.csv,Combined source model using only harmonized shared features plus data_source.,0.2713636227662869,0.07752643525600433,0.8023485512124363,0.9040986038604342,498800.0,124701.0,10.0
